"Season","Squad","Comp","Player","Nation","Pos","Age","Starts_Playing_Time","Min_Playing_Time","Mins_Per_90_Playing_Time","Gls","Ast","G+A","G_minus_PK","PK","PKatt","CrdY","CrdR","xG_Expected","npxG_Expected","xAG_Expected","npxG+xAG_Expected","PrgC_Progression","PrgP_Progression","PrgR_Progression","Gls_Per_Minutes","Ast_Per_Minutes","G+A_Per_Minutes","G_minus_PK_Per_Minutes","G+A_minus_PK_Per_Minutes","xG_Per_Minutes","xAG_Per_Minutes","xG+xAG_Per_Minutes","npxG_Per_Minutes","npxG+xAG_Per_Minutes","MP","Mins_Per_90","Tkl_Tackles","TklW_Tackles","Def 3rd_Tackles","Mid 3rd_Tackles","Att 3rd_Tackles","Tkl_Challenges","Att_Challenges","Tkl_percent_Challenges","Lost_Challenges","Blocks_Blocks","Sh_Blocks","Pass_Blocks","Int","Tkl+Int","Clr","Err","Cmp_Total","Att_Total","Cmp_percent_Total","TotDist_Total","PrgDist_Total","Cmp_Short","Att_Short","Cmp_percent_Short","Cmp_Medium","Att_Medium","Cmp_percent_Medium","Cmp_Long","Att_Long","Cmp_percent_Long","xAG","xA","A_minus_xAG","KP","Final_Third","PPA","CrsPA","PrgP","Gls_Standard","Sh_Standard","SoT_Standard","SoT_percent_Standard","Sh_per_90_Standard","SoT_per_90_Standard","G_per_Sh_Standard","G_per_SoT_Standard","Dist_Standard","FK_Standard","PK_Standard","PKatt_Standard","npxG_per_Sh_Expected","G_minus_xG_Expected","np:G_minus_xG_Expected","Att","Live_Pass_Types","Dead_Pass_Types","FK_Pass_Types","TB_Pass_Types","Sw_Pass_Types","Crs_Pass_Types","TI_Pass_Types","CK_Pass_Types","In_Corner_Kicks","Out_Corner_Kicks","Str_Corner_Kicks","Cmp_Outcomes","Off_Outcomes","Blocks_Outcomes","SCA_SCA","SCA90_SCA","PassLive_SCA_Types","PassDead_SCA_Types","TO_SCA_Types","Sh_SCA_Types","Fld_SCA_Types","Def_SCA_Types","GCA_GCA","GCA90_GCA","PassLive_GCA_Types","PassDead_GCA_Types","TO_GCA_Types","Sh_GCA_Types","Fld_GCA_Types","Def_GCA_Types","Touches_Touches","Def Pen_Touches","Def 3rd_Touches","Mid 3rd_Touches","Att 3rd_Touches","Att Pen_Touches","Live_Touches","Att_Take_Ons","Succ_Take_Ons","Succ_percent_Take_Ons","Tkld_Take_Ons","Tkld_percent_Take_Ons","Carries_Carries","TotDist_Carries","PrgDist_Carries","PrgC_Carries","Final_Third_Carries","CPA_Carries","Mis_Carries","Dis_Carries","Rec_Receiving","PrgR_Receiving","2CrdY","Fls","Fld","Off","Crs","TklW","PKwon","PKcon","OG","Recov","Won_Aerial_Duels","Lost_Aerial_Duels","Won_percent_Aerial_Duels"
"2022-2023","Vitesse","Eredivisie","Nicolas Isimat-Mirin","FRA","DF","30",13,1145,12.7,0,1,1,0,0,0,1,0,1,1,0.2,1.2,12,41,2,0,0.08,0.08,0,0.08,0.08,0.01,0.09,0.08,0.09,16,12.7,20,11,8,12,0,8,15,53.3,7,11,7,4,7,27,69,1,528,626,84.3,10053,3635,187,193,96.9,289,334,86.5,49,80,61.3,0.2,0.3,0.8,2,17,0,0,41,0,9,1,11.1,0.71,0.08,0,0,11.2,0,0,0,0.11,-1,-1,626,604,17,12,0,5,1,1,0,0,0,0,528,5,5,15,1.18,13,0,0,2,0,0,3,0.24,3,0,0,0,0,0,764,104,389,359,22,13,764,2,2,100,0,0,425,2619,1627,12,3,1,8,4,467,2,0,13,5,0,1,11,0,0,0,86,35,22,61.4
"2022-2023","Vitesse","Eredivisie","Marco van Ginkel","NED","MF","29",13,1069,11.9,2,2,4,2,0,0,2,0,1.7,1.7,0.5,2.2,9,53,32,0.17,0.17,0.34,0.17,0.34,0.14,0.04,0.18,0.14,0.18,13,11.9,8,6,3,3,2,2,17,11.8,15,8,2,6,2,10,12,0,367,478,76.8,5882,1599,191,233,82,134,168,79.8,26,35,74.3,0.5,0.9,1.5,10,32,6,0,53,2,19,4,21.1,1.6,0.34,0.11,0.5,18.2,2,0,0,0.09,0.3,0.3,478,460,16,10,2,5,8,6,0,0,0,0,367,2,18,20,1.68,19,0,0,0,1,0,3,0.25,2,0,0,0,1,0,580,21,67,328,188,29,580,10,3,30,6,60,298,1185,415,9,13,1,18,6,405,32,0,13,11,0,8,6,0,0,0,36,19,20,48.7
"2022-2023","Vitesse","Eredivisie","Alois Oroz","CRO","DF","21",11,1018,11.3,1,0,1,1,0,0,3,0,1,1,0,1,2,19,1,0.09,0,0.09,0.09,0.09,0.09,0,0.09,0.09,0.09,16,11.3,14,12,12,2,0,6,15,40,9,17,7,10,16,30,55,0,390,490,79.6,8109,2805,121,141,85.8,213,237,89.9,54,108,50,0,0.1,0,0,27,0,0,19,1,7,1,14.3,0.62,0.09,0.14,1,9.3,0,0,0,0.14,0,0,490,476,14,13,0,3,0,0,0,0,0,0,390,0,1,4,0.35,4,0,0,0,0,0,0,0,0,0,0,0,0,0,611,80,364,241,12,9,611,0,0,NA,0,NA,317,1326,525,2,3,0,4,1,363,1,0,12,1,0,0,12,0,0,1,56,21,13,61.8
"2022-2023","Vitesse","Eredivisie","Mohamed Sankoh","NED","FW","18",6,762,8.5,2,2,4,2,0,0,1,0,4.1,4.1,2.2,6.3,13,9,51,0.24,0.24,0.47,0.24,0.47,0.48,0.26,0.74,0.48,0.74,21,8.5,3,1,0,3,0,1,6,16.7,5,5,1,4,0,3,2,0,93,148,62.8,1176,268,52,75,69.3,26,38,68.4,3,6,50,2.2,0.9,-0.2,9,5,3,0,9,2,20,7,35,2.36,0.83,0.1,0.29,10.2,0,0,0,0.2,-2.1,-2.1,148,136,12,0,1,0,1,0,0,0,0,0,93,0,5,19,2.24,14,0,4,0,1,0,3,0.35,2,0,1,0,0,0,251,3,21,118,118,38,251,23,13,56.5,8,34.8,126,760,356,13,6,6,38,14,171,51,0,15,4,14,1,1,0,0,0,24,16,42,27.6
"2022-2023","Vitesse","Eredivisie","Francisco Reis Ferreira","POR","DF","25",6,556,6.2,0,0,0,0,0,0,1,0,0.2,0.2,0.1,0.4,4,18,2,0,0,0,0,0,0.04,0.02,0.06,0.04,0.06,9,6.2,14,6,10,3,1,9,17,52.9,8,7,3,4,4,18,20,0,259,356,72.8,5590,2250,73,87,83.9,137,170,80.6,44,84,52.4,0.1,0.4,-0.1,3,22,3,1,18,0,5,2,40,0.81,0.32,0,0,21,0,0,0,0.05,-0.2,-0.2,356,344,12,10,2,10,2,2,0,0,0,0,259,0,4,8,1.29,8,0,0,0,0,0,0,0,0,0,0,0,0,0,415,35,183,212,23,15,415,1,1,100,0,0,200,963,653,4,1,0,0,2,266,2,0,6,0,0,2,6,0,0,0,34,7,11,38.9
"2022-2023","Vitesse","Eredivisie","Nikolai Baden Frederiksen","DEN","FW","22",5,525,5.8,2,0,2,2,0,0,0,0,2.1,2.1,0.1,2.1,3,5,27,0.34,0,0.34,0.34,0.34,0.35,0.01,0.37,0.35,0.37,13,5.8,4,2,1,2,1,4,7,57.1,3,7,2,5,0,4,5,0,64,97,66,931,137,36,46,78.3,21,33,63.6,4,9,44.4,0.1,0.1,-0.1,2,3,2,0,5,2,25,8,32,4.29,1.37,0.08,0.25,22.8,7,0,0,0.08,-0.1,-0.1,97,77,19,3,1,1,6,2,0,0,0,0,64,1,4,13,2.23,6,0,0,4,3,0,2,0.34,1,0,0,0,1,0,164,4,12,68,87,17,164,10,5,50,4,40,79,315,128,3,3,1,15,2,88,27,0,6,6,4,6,2,1,0,0,22,6,6,50
"2022-2023","Vitesse","Eredivisie","Romaric Yapi","FRA","FW,DF","22",3,357,4,0,0,0,0,0,0,1,0,0.6,0.6,0.2,0.8,11,11,32,0,0,0,0,0,0.15,0.06,0.21,0.15,0.21,16,4,3,3,1,1,1,1,4,25,3,4,2,2,3,6,11,0,94,143,65.7,1630,387,46,62,74.2,32,41,78,12,19,63.2,0.2,0.5,-0.2,5,5,4,2,11,0,7,4,57.1,1.76,1.01,0,0,13.3,0,0,0,0.08,-0.6,-0.6,143,130,11,2,0,1,14,9,0,0,0,0,94,2,8,5,1.26,5,0,0,0,0,0,0,0,0,0,0,0,0,0,202,13,41,76,86,16,202,14,7,50,7,50,109,747,314,11,7,2,5,7,121,32,0,3,2,0,14,3,0,0,0,16,9,10,47.4
"2022-2023","Vitesse","Eredivisie","Mitchell Dijks","NED","DF","29",3,300,3.3,0,0,0,0,0,0,1,0,0,0,0.2,0.2,8,10,9,0,0,0,0,0,0,0.06,0.06,0,0.06,7,3.3,3,3,1,2,0,0,2,0,2,6,0,6,2,5,13,0,114,149,76.5,1913,1008,50,57,87.7,52,66,78.8,7,17,41.2,0.2,0.3,-0.2,3,10,3,3,10,0,0,0,NA,0,0,NA,NA,NA,0,0,0,NA,0,0,149,111,38,7,0,0,8,30,1,1,0,0,114,0,3,3,0.9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,181,11,57,85,40,0,181,3,2,66.7,1,33.3,83,469,269,8,4,0,3,2,100,9,0,5,6,0,8,3,0,1,0,11,6,3,66.7
"2022-2023","Vitesse","Eredivisie","Toni Domgjoni","KVX","MF","23",3,299,3.3,0,0,0,0,0,0,2,0,0.5,0.5,0.3,0.8,6,10,7,0,0,0,0,0,0.15,0.09,0.24,0.15,0.24,7,3.3,4,3,1,2,1,1,5,20,4,1,1,0,1,5,2,0,70,98,71.4,1127,270,38,48,79.2,25,36,69.4,5,8,62.5,0.3,0.8,-0.3,2,9,3,0,10,0,5,1,20,1.51,0.3,0,0,16.5,0,0,0,0.1,-0.5,-0.5,98,93,4,0,0,1,1,1,1,1,0,0,70,1,0,2,0.6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,132,6,23,75,35,8,132,5,1,20,3,60,66,460,262,6,3,1,6,3,74,7,0,2,2,1,1,3,0,0,0,17,4,7,36.4
"2022-2023","Vitesse","Eredivisie","Tomáš Hájek","","DF,FW","30",2,171,1.9,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.1,0,7,0,0,0,0,0,0,0.04,0.04,0.08,0.04,0.08,7,1.9,4,3,2,2,0,0,2,0,2,2,2,0,4,8,10,0,76,98,77.6,1517,528,23,28,82.1,46,55,83.6,6,11,54.5,0.1,0.4,-0.1,1,3,0,0,7,0,1,0,0,0.53,0,0,NA,13.8,0,0,0,0.08,-0.1,-0.1,98,93,4,3,0,1,0,1,0,0,0,0,76,1,2,2,1.06,1,0,0,1,0,0,0,0,0,0,0,0,0,0,123,15,58,61,7,3,123,0,0,NA,0,NA,64,274,137,0,2,1,2,0,64,0,0,2,2,0,0,3,0,0,0,13,3,2,60
"2022-2023","Vitesse","Eredivisie","Simon Van Duivenbooden","NED","FW","20",1,164,1.8,1,0,1,1,0,0,0,0,0.5,0.5,0.2,0.7,0,3,16,0.55,0,0.55,0.55,0.55,0.29,0.11,0.4,0.29,0.4,9,1.8,1,0,0,0,1,1,1,100,0,0,0,0,0,1,0,0,27,45,60,337,78,16,28,57.1,6,11,54.5,1,1,100,0.2,0.2,-0.2,3,2,0,0,3,1,3,1,33.3,1.65,0.55,0.33,1,10.5,0,0,0,0.18,0.5,0.5,45,44,1,0,0,0,2,0,0,0,0,0,27,0,0,6,3.29,6,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,1,25,38,12,63,1,0,0,1,100,31,119,20,0,0,0,9,0,48,16,0,1,1,1,2,0,0,0,0,8,8,19,29.6
"2022-2023","Vitesse","Eredivisie","Thomas Buitink","NED","FW,DF","22",1,127,1.4,0,0,0,0,0,0,0,0,0,0,0.4,0.5,2,6,10,0,0,0,0,0,0.02,0.3,0.32,0.02,0.32,8,1.4,2,1,2,0,0,0,1,0,1,2,0,2,0,2,4,0,12,21,57.1,238,86,5,7,71.4,3,5,60,3,8,37.5,0.4,0.1,-0.4,3,3,1,0,6,0,1,0,0,0.71,0,0,NA,30.2,0,0,0,0.03,0,0,21,21,0,0,0,1,3,0,0,0,0,0,12,0,0,6,4.22,5,0,1,0,0,0,0,0,0,0,0,0,0,0,42,3,9,15,19,2,42,4,2,50,2,50,25,129,42,2,2,0,6,3,29,10,0,3,0,2,3,1,0,0,0,5,0,0,NA
"2022-2023","Vitesse","Eredivisie","Davy Pröpper","NED","MF","30",1,94,1,0,0,0,0,0,0,1,0,0,0,0.4,0.4,0,4,1,0,0,0,0,0,0,0.39,0.39,0,0.39,2,1,3,2,1,1,1,2,3,66.7,1,3,1,2,5,8,3,0,40,50,80,809,390,16,21,76.2,12,15,80,9,10,90,0.4,0.4,-0.4,4,2,0,0,4,0,0,0,NA,0,0,NA,NA,NA,0,0,0,NA,0,0,50,44,6,2,1,0,5,0,4,2,2,0,40,0,0,5,4.79,2,3,0,0,0,0,1,0.96,1,0,0,0,0,0,67,4,14,35,18,2,67,2,0,0,2,100,27,109,35,0,1,0,0,2,31,1,0,2,1,0,5,2,0,0,0,6,3,0,100
"2022-2023","Vitesse","Eredivisie","Miliano Jonathans","NED","FW,MF","18",0,131,1.5,0,0,0,0,0,0,2,0,0.7,0.7,1,1.7,6,11,25,0,0,0,0,0,0.47,0.69,1.16,0.47,1.16,12,1.5,4,2,1,1,2,1,3,33.3,2,2,0,2,2,6,0,0,59,78,75.6,1019,282,26,33,78.8,25,32,78.1,6,10,60,1,0.5,-1,10,3,9,5,11,0,8,3,37.5,5.5,2.06,0,0,22.2,0,0,0,0.09,-0.7,-0.7,78,77,1,0,0,0,11,1,0,0,0,0,59,0,0,19,12.95,15,0,1,3,0,0,0,0,0,0,0,0,0,0,102,0,10,36,57,10,102,6,3,50,2,33.3,72,528,244,6,8,1,2,4,75,25,0,4,2,0,11,2,0,0,0,7,3,4,42.9
"2022-2023","Vitesse","Eredivisie","Daan Huisman","NED","MF","20",0,40,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0.4,1,1,0,1,0,1,2,50,1,0,0,0,0,1,1,0,9,11,81.8,128,45,4,5,80,3,4,75,1,1,100,0,0,0,0,0,0,0,1,0,0,0,NA,0,0,NA,NA,NA,0,0,0,NA,0,0,11,11,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,5,6,4,0,15,1,0,0,1,100,10,41,8,0,0,0,0,0,13,1,0,0,2,0,0,1,0,0,0,1,0,1,0
"2022-2023","Vitesse","Eredivisie","Gyan de Regt","NED","FW,MF","19",0,9,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0.1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,3,33.3,9,0,1,2,50,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,NA,NA,0,0,0,NA,0,0,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,2,2,2,5,0,0,NA,0,NA,4,3,0,0,0,0,2,0,4,1,0,1,0,0,0,0,0,0,0,0,0,0,NA
"2022-2023","Go Ahead Eagles","Eredivisie","Isac Lidberg","SWE","FW","23",33,2759,30.7,7,5,12,7,0,0,2,0,9.9,9.9,2.7,12.6,41,57,214,0.23,0.16,0.39,0.23,0.39,0.32,0.09,0.41,0.32,0.41,33,30.7,19,11,3,11,5,4,12,33.3,8,35,6,29,6,25,30,0,457,671,68.1,5715,1103,281,381,73.8,125,177,70.6,8,28,28.6,2.7,2.5,2.3,30,17,21,0,57,7,78,26,33.3,2.54,0.85,0.09,0.27,13.9,0,0,0,0.13,-2.9,-2.9,671,643,28,0,1,1,13,1,0,0,0,0,457,0,22,68,2.22,49,0,4,11,4,0,14,0.46,8,0,1,4,1,0,1045,39,79,424,548,147,1045,55,22,40,26,47.3,540,2731,948,41,24,17,98,45,777,214,0,34,36,16,13,11,0,0,0,68,84,99,45.9
"2022-2023","Go Ahead Eagles","Eredivisie","Jay Idzes","NED","DF,MF","22",32,2852,31.7,1,0,1,1,0,0,4,0,1.8,1.8,0.2,2,8,73,8,0.03,0,0.03,0.03,0.03,0.06,0,0.06,0.06,0.06,32,31.7,47,26,38,9,0,19,35,54.3,16,44,25,19,42,89,140,1,1270,1507,84.3,23699,8250,485,543,89.3,666,735,90.6,109,198,55.1,0.2,0.6,-0.2,5,78,5,0,73,1,22,5,22.7,0.69,0.16,0.05,0.2,12.7,0,0,0,0.08,-0.8,-0.8,1507,1429,77,33,0,4,1,6,0,0,0,0,1270,1,8,24,0.76,22,0,0,2,0,0,2,0.06,1,0,0,1,0,0,1856,310,1013,756,98,41,1856,7,5,71.4,2,28.6,929,4198,2394,8,9,0,14,1,1089,8,0,19,14,1,1,26,0,0,0,187,57,76,42.9
"2022-2023","Go Ahead Eagles","Eredivisie","Mats Deijl","NED","DF","25",32,2810,31.2,2,2,4,2,0,0,3,1,0.8,0.8,1.9,2.6,33,119,89,0.06,0.06,0.13,0.06,0.13,0.02,0.06,0.08,0.02,0.08,32,31.2,46,32,25,13,8,25,46,54.3,21,37,9,28,35,81,100,1,1107,1559,71,20177,8491,480,546,87.9,463,643,72,135,280,48.2,1.9,2.5,0.1,21,87,30,13,119,2,14,4,28.6,0.45,0.13,0.14,0.5,16.6,0,0,0,0.06,1.2,1.2,1559,1235,321,18,0,6,84,300,3,0,0,0,1107,3,32,52,1.67,40,8,0,1,3,0,5,0.16,5,0,0,0,0,0,1882,135,607,777,507,46,1882,31,17,54.8,10,32.3,806,3687,1623,33,21,3,21,15,937,89,0,28,33,1,84,32,0,0,0,175,53,30,63.9
"2022-2023","Go Ahead Eagles","Eredivisie","Philippe Rommens","BEL","MF","24",28,2478,27.5,3,1,4,3,0,0,2,0,2.1,2.1,4.9,6.9,26,168,37,0.11,0.04,0.15,0.11,0.15,0.08,0.18,0.25,0.08,0.25,28,27.5,62,38,23,27,12,23,43,53.5,20,33,9,24,33,95,35,0,1272,1705,74.6,25788,9318,469,553,84.8,548,649,84.4,235,440,53.4,4.9,4.6,-3.9,62,163,30,13,168,3,42,12,28.6,1.53,0.44,0.07,0.25,23.5,7,0,0,0.05,0.9,0.9,1705,1419,280,114,3,17,205,9,126,48,64,2,1272,6,19,109,3.96,52,49,2,5,1,0,5,0.18,2,1,0,2,0,0,1992,80,458,1052,489,25,1992,18,10,55.6,8,44.4,954,4571,2019,26,16,4,27,15,1157,37,0,31,12,0,205,38,0,0,0,171,27,30,47.4
"2022-2023","Go Ahead Eagles","Eredivisie","Bobby Adekanye","NED","FW,MF","23",28,2146,23.8,6,4,10,6,0,0,8,0,4,4,3.4,7.4,64,78,167,0.25,0.17,0.42,0.25,0.42,0.17,0.14,0.31,0.17,0.31,31,23.8,30,17,8,18,4,11,45,24.4,34,28,4,24,9,39,5,0,435,618,70.4,6631,2142,245,301,81.4,130,186,69.9,34,70,48.6,3.4,2.7,0.6,31,44,25,6,78,6,46,15,32.6,1.93,0.63,0.13,0.4,18.4,0,0,0,0.09,2,2,618,605,12,6,6,4,42,2,2,1,0,0,435,1,22,81,3.39,53,1,11,8,8,0,9,0.38,8,0,0,1,0,0,958,9,118,423,441,89,958,114,52,45.6,46,40.4,645,3914,1864,64,39,22,72,45,664,167,0,44,68,4,42,17,0,0,0,128,8,37,17.8
"2022-2023","Go Ahead Eagles","Eredivisie","Jamal Amofa","NED","DF","23",27,2413,26.8,0,1,1,0,0,0,8,0,0.4,0.4,0.9,1.2,25,99,9,0,0.04,0.04,0,0.04,0.01,0.03,0.05,0.01,0.05,31,26.8,46,32,30,12,4,16,31,51.6,15,35,17,18,36,82,82,1,1059,1277,82.9,20658,8513,360,412,87.4,575,633,90.8,115,194,59.3,0.9,0.7,0.1,8,74,9,1,99,0,4,0,0,0.15,0,0,NA,12.1,0,0,0,0.09,-0.4,-0.4,1277,1204,70,33,2,6,9,32,0,0,0,0,1059,3,15,22,0.82,20,1,0,0,0,1,2,0.07,2,0,0,0,0,0,1542,234,792,669,97,8,1542,45,30,66.7,13,28.9,913,5613,3366,25,16,0,23,10,904,9,0,25,10,0,9,32,0,0,0,194,24,27,47.1
"2022-2023","Go Ahead Eagles","Eredivisie","Oliver Edvardsen","NOR","FW,MF","23",26,2031,22.6,7,1,8,7,0,0,3,0,5.3,5.3,1.7,7,43,44,126,0.31,0.04,0.35,0.31,0.35,0.24,0.07,0.31,0.24,0.31,28,22.6,39,26,16,16,7,15,32,46.9,17,32,5,27,29,68,16,0,400,588,68,5561,1640,237,293,80.9,121,170,71.2,19,66,28.8,1.7,2,-0.7,17,23,17,2,44,7,41,19,46.3,1.82,0.84,0.17,0.37,17.1,1,0,0,0.14,1.7,1.7,588,536,49,9,4,3,46,15,14,8,5,0,400,3,17,57,2.53,36,1,4,6,10,0,8,0.35,2,1,1,2,2,0,913,31,160,367,402,65,913,73,21,28.8,41,56.2,498,2472,1225,43,29,14,53,30,532,126,0,25,49,2,46,26,1,0,0,107,20,24,45.5
"2022-2023","Go Ahead Eagles","Eredivisie","Willum Þór Willumsson","ISL","MF,FW","23",25,2186,24.3,8,3,11,6,2,4,1,0,7.5,4.3,3.6,7.9,49,126,126,0.33,0.12,0.45,0.25,0.37,0.31,0.15,0.46,0.18,0.33,27,24.3,28,17,6,17,5,14,30,46.7,16,22,8,14,8,36,31,0,673,901,74.7,10189,3645,375,452,83,244,309,79,34,63,54,3.6,4.6,-0.6,38,80,26,2,126,8,40,10,25,1.65,0.41,0.15,0.6,16.7,1,2,4,0.11,0.5,1.7,901,877,19,5,5,3,15,8,0,0,0,0,673,5,28,74,3.05,66,0,2,3,2,1,6,0.25,4,0,0,1,1,0,1196,38,161,583,464,85,1192,49,20,40.8,26,53.1,726,4110,1696,49,43,13,68,37,853,126,0,19,24,3,15,17,1,0,1,147,44,42,51.2
"2022-2023","Go Ahead Eagles","Eredivisie","Bas Kuipers","NED","DF","27",21,1905,21.2,3,1,4,3,0,0,1,0,3,3,4.2,7.2,39,99,108,0.14,0.05,0.19,0.14,0.19,0.14,0.2,0.34,0.14,0.34,23,21.2,27,11,14,10,3,15,26,57.7,11,22,13,9,27,54,61,0,706,979,72.1,12914,5534,306,363,84.3,297,391,76,87,161,54,4.2,3.1,-3.2,27,56,41,17,99,3,25,12,48,1.18,0.57,0.12,0.25,13.2,0,0,0,0.12,0,0,979,739,235,30,2,4,80,195,10,2,4,0,706,5,24,51,2.41,38,7,0,4,1,1,3,0.14,2,0,0,1,0,0,1212,84,381,420,416,50,1212,27,9,33.3,17,63,516,2405,1283,39,26,10,25,14,594,108,0,22,11,3,80,11,0,1,0,96,23,18,56.1
"2022-2023","Go Ahead Eagles","Eredivisie","Evert Linthorst","NED","MF","22",16,1446,16.1,1,0,1,1,0,0,2,0,0.8,0.8,0.6,1.4,16,81,32,0.06,0,0.06,0.06,0.06,0.05,0.04,0.09,0.05,0.09,23,16.1,34,22,10,18,6,13,18,72.2,5,30,7,23,17,51,38,0,567,718,79,9684,2716,267,319,83.7,232,278,83.5,48,80,60,0.6,1.3,-0.6,10,64,13,3,81,1,9,1,11.1,0.56,0.06,0.11,1,19,0,0,0,0.09,0.2,0.2,718,707,10,5,4,11,16,4,0,0,0,0,567,1,8,33,2.05,28,0,0,1,0,4,5,0.31,4,0,0,0,0,1,899,61,226,485,197,22,899,14,4,28.6,6,42.9,416,2002,934,16,17,1,11,5,520,32,0,24,9,1,16,22,0,0,0,106,16,14,53.3
"2022-2023","Go Ahead Eagles","Eredivisie","Enric Llansana","NED","MF","21",14,1123,12.5,0,1,1,0,0,0,3,0,0.5,0.5,1.1,1.6,18,66,21,0,0.08,0.08,0,0.08,0.04,0.09,0.13,0.04,0.13,21,12.5,41,27,22,17,2,18,38,47.4,20,21,6,15,22,63,16,0,440,557,79,7454,2351,210,248,84.7,177,218,81.2,43,63,68.3,1.1,0.9,-0.1,9,51,7,0,66,0,9,3,33.3,0.72,0.24,0,0,22.2,0,0,0,0.05,-0.5,-0.5,557,545,11,7,3,2,9,3,1,1,0,0,440,1,6,26,2.08,23,0,3,0,0,0,1,0.08,1,0,0,0,0,0,708,34,193,379,143,8,708,17,11,64.7,5,29.4,318,1450,730,18,7,3,11,11,380,21,0,22,4,0,9,27,0,0,0,84,24,29,45.3
"2022-2023","Go Ahead Eagles","Eredivisie","Gerrit Nauber","GER","DF","30",12,1129,12.5,0,0,0,0,0,0,1,0,0.5,0.5,0,0.5,3,31,6,0,0,0,0,0,0.04,0,0.04,0.04,0.04,19,12.5,15,9,8,7,0,5,9,55.6,4,14,9,5,17,32,61,3,469,564,83.2,9521,4132,150,165,90.9,251,278,90.3,62,109,56.9,0,0.2,0,0,36,1,0,31,0,8,1,12.5,0.64,0.08,0,0,14.5,0,0,0,0.06,-0.5,-0.5,564,512,52,32,0,6,3,10,0,0,0,0,469,0,3,9,0.72,5,0,0,4,0,0,0,0,0,0,0,0,0,0,689,128,373,280,40,14,689,1,1,100,0,0,349,1699,1023,3,3,0,3,1,384,6,0,6,4,0,3,9,0,0,0,62,22,22,50
"2022-2023","Go Ahead Eagles","Eredivisie","José Fontán","ESP","DF","22",12,1106,12.3,1,3,4,1,0,0,5,0,0.5,0.5,1.1,1.5,18,46,17,0.08,0.24,0.33,0.08,0.33,0.04,0.09,0.13,0.04,0.13,21,12.3,24,10,16,8,0,12,23,52.2,11,18,6,12,11,35,56,0,442,603,73.3,8389,3671,148,169,87.6,234,287,81.5,50,116,43.1,1.1,0.9,1.9,10,32,10,5,46,1,7,2,28.6,0.57,0.16,0.14,0.5,18.9,0,0,0,0.07,0.5,0.5,603,541,62,9,1,4,25,49,0,0,0,0,442,0,20,17,1.38,17,0,0,0,0,0,3,0.24,3,0,0,0,0,0,736,96,358,281,102,8,736,4,3,75,1,25,362,1843,1148,18,9,0,4,2,418,17,0,14,10,0,25,10,0,0,0,71,18,15,54.5
"2022-2023","Go Ahead Eagles","Eredivisie","Finn Stokkers","NED","FW,MF","26",11,1168,13,3,2,5,3,0,0,1,0,5.1,5.1,1.9,7,12,18,101,0.23,0.15,0.39,0.23,0.39,0.39,0.14,0.54,0.39,0.54,24,13,11,7,2,4,5,5,13,38.5,8,8,1,7,8,19,12,0,202,313,64.5,2705,556,127,181,70.2,49,69,71,10,20,50,1.9,2.1,0.1,23,13,10,4,18,3,40,10,25,3.08,0.77,0.08,0.3,13.4,1,0,0,0.13,-2.1,-2.1,313,305,6,0,2,1,16,0,0,0,0,0,202,2,9,49,3.78,35,0,1,11,1,1,5,0.39,5,0,0,0,0,0,472,10,38,156,281,79,472,16,4,25,11,68.8,252,908,314,12,4,6,41,24,352,101,0,11,17,5,16,7,0,0,0,43,43,42,50.6
"2022-2023","Go Ahead Eagles","Eredivisie","Rashaan Fernandes","NED","MF,FW","23",7,720,8,0,1,1,0,0,0,1,1,0.8,0.8,1.3,2,23,42,54,0,0.12,0.12,0,0.12,0.09,0.16,0.26,0.09,0.26,19,8,17,9,8,3,6,7,20,35,13,10,1,9,2,19,6,0,212,293,72.4,3062,1078,127,156,81.4,57,79,72.2,16,30,53.3,1.3,1.6,-0.3,15,24,10,4,42,0,11,4,36.4,1.37,0.5,0,0,17.4,0,0,0,0.07,-0.8,-0.8,293,276,17,3,3,0,23,6,7,4,2,0,212,0,9,32,4.01,25,3,1,1,1,1,6,0.75,5,1,0,0,0,0,382,5,55,142,192,18,382,20,7,35,8,40,226,1509,769,23,22,5,16,12,246,54,0,11,8,0,23,9,0,0,0,50,6,9,40
