"Season","Squad","Comp","Player","Nation","Pos","Age","MP","Starts_Playing_Time","Min_Playing_Time","Mins_Per_90_Playing_Time","Gls","Ast","G+A","G_minus_PK","PK","PKatt","CrdY","CrdR","xG_Expected","npxG_Expected","xAG_Expected","npxG+xAG_Expected","PrgC_Progression","PrgP_Progression","PrgR_Progression","Gls_Per_Minutes","Ast_Per_Minutes","G+A_Per_Minutes","G_minus_PK_Per_Minutes","G+A_minus_PK_Per_Minutes","xG_Per_Minutes","xAG_Per_Minutes","xG+xAG_Per_Minutes","npxG_Per_Minutes","npxG+xAG_Per_Minutes","Mins_Per_90","Tkl_Tackles","TklW_Tackles","Def 3rd_Tackles","Mid 3rd_Tackles","Att 3rd_Tackles","Tkl_Challenges","Att_Challenges","Tkl_percent_Challenges","Lost_Challenges","Blocks_Blocks","Sh_Blocks","Pass_Blocks","Int","Tkl+Int","Clr","Err","Cmp_Total","Att_Total","Cmp_percent_Total","TotDist_Total","PrgDist_Total","Cmp_Short","Att_Short","Cmp_percent_Short","Cmp_Medium","Att_Medium","Cmp_percent_Medium","Cmp_Long","Att_Long","Cmp_percent_Long","xAG","xA","A_minus_xAG","KP","Final_Third","PPA","CrsPA","PrgP","Gls_Standard","Sh_Standard","SoT_Standard","SoT_percent_Standard","Sh_per_90_Standard","SoT_per_90_Standard","G_per_Sh_Standard","G_per_SoT_Standard","Dist_Standard","FK_Standard","PK_Standard","PKatt_Standard","npxG_per_Sh_Expected","G_minus_xG_Expected","np:G_minus_xG_Expected","Att","Live_Pass_Types","Dead_Pass_Types","FK_Pass_Types","TB_Pass_Types","Sw_Pass_Types","Crs_Pass_Types","TI_Pass_Types","CK_Pass_Types","In_Corner_Kicks","Out_Corner_Kicks","Str_Corner_Kicks","Cmp_Outcomes","Off_Outcomes","Blocks_Outcomes","SCA_SCA","SCA90_SCA","PassLive_SCA_Types","PassDead_SCA_Types","TO_SCA_Types","Sh_SCA_Types","Fld_SCA_Types","Def_SCA_Types","GCA_GCA","GCA90_GCA","PassLive_GCA_Types","PassDead_GCA_Types","TO_GCA_Types","Sh_GCA_Types","Fld_GCA_Types","Def_GCA_Types","Touches_Touches","Def Pen_Touches","Def 3rd_Touches","Mid 3rd_Touches","Att 3rd_Touches","Att Pen_Touches","Live_Touches","Att_Take_Ons","Succ_Take_Ons","Succ_percent_Take_Ons","Tkld_Take_Ons","Tkld_percent_Take_Ons","Carries_Carries","TotDist_Carries","PrgDist_Carries","PrgC_Carries","Final_Third_Carries","CPA_Carries","Mis_Carries","Dis_Carries","Rec_Receiving","PrgR_Receiving","2CrdY","Fls","Fld","Off","Crs","TklW","PKwon","PKcon","OG","Recov","Won_Aerial_Duels","Lost_Aerial_Duels","Won_percent_Aerial_Duels"
"2022-2023","Sporting CP","Primeira Liga","Arthur","BRA","MF,DF","24",24,6,805,8.9,1,2,3,1,0,0,0,0,1.1,1.1,2.1,3.2,46,40,100,0.11,0.22,0.34,0.11,0.34,0.13,0.23,0.36,0.13,0.36,8.9,17,10,5,7,5,14,19,73.7,5,21,0,21,2,19,9,0,414,516,80.2,6572,1217,223,244,91.4,153,192,79.7,29,51,56.9,2.1,1.9,-0.1,13,12,16,6,40,1,16,3,18.8,1.79,0.34,0.06,0.33,20.8,1,0,0,0.07,-0.1,-0.1,516,431,82,5,0,6,62,69,6,4,0,0,414,3,14,29,3.23,21,2,3,1,2,0,2,0.22,2,0,0,0,0,0,644,7,77,226,351,31,644,51,26,51,20,39.2,374,2695,1342,46,24,8,23,7,422,100,0,7,15,1,62,10,0,0,0,47,5,6,45.5
"2022-2023","Sporting CP","Primeira Liga","Héctor Bellerín","ESP","DF,MF","27",10,6,443,4.9,1,0,1,1,0,0,1,0,0.5,0.5,0.8,1.3,9,31,46,0.2,0,0.2,0.2,0.2,0.1,0.17,0.27,0.1,0.27,4.9,9,6,5,3,1,5,9,55.6,4,4,0,4,3,12,7,0,253,311,81.4,3795,1273,146,161,90.7,86,104,82.7,12,19,63.2,0.8,0.6,-0.8,6,20,8,1,31,1,4,2,50,0.81,0.41,0.25,0.5,20.8,0,0,0,0.12,0.5,0.5,311,253,57,4,1,1,13,53,0,0,0,0,253,1,9,12,2.44,9,0,2,1,0,0,1,0.2,0,0,1,0,0,0,359,9,77,148,136,13,359,12,6,50,6,50,199,940,409,9,8,2,4,7,226,46,0,5,0,1,13,6,0,0,0,23,10,9,52.6
"2022-2023","Sporting CP","Primeira Liga","Luís Neto","POR","DF","34",6,4,274,3,0,0,0,0,0,0,1,0,0,0,0,0,3,17,0,0,0,0,0,0,0,0,0,0,0,3,6,3,4,2,0,4,5,80,1,2,1,1,1,7,6,0,242,264,91.7,4473,1505,90,98,91.8,129,138,93.5,20,23,87,0,0,0,0,17,0,0,17,0,1,0,0,0.33,0,0,NA,10.3,0,0,0,0.01,0,0,264,251,13,11,1,3,0,1,0,0,0,0,242,0,2,1,0.33,1,0,0,0,0,0,0,0,0,0,0,0,0,0,280,23,124,152,6,2,280,2,2,100,0,0,168,771,450,3,1,0,0,0,215,0,0,2,5,0,0,3,0,0,0,19,7,3,70
"2022-2023","Sporting CP","Primeira Liga","Rochinha","POR","FW,MF","27",16,3,432,4.8,1,2,3,1,0,0,2,0,1.7,1.7,1.1,2.8,14,26,53,0.21,0.42,0.62,0.21,0.62,0.35,0.22,0.57,0.35,0.57,4.8,4,1,0,4,0,1,4,25,3,3,1,2,5,9,0,0,140,178,78.7,2013,552,86,100,86,43,52,82.7,7,15,46.7,1.1,0.6,0.9,7,16,12,3,26,1,16,6,37.5,3.33,1.25,0.06,0.17,16.1,0,0,0,0.11,-0.7,-0.7,178,170,7,1,0,0,12,3,3,3,0,0,140,1,5,14,2.91,8,1,1,2,2,0,3,0.62,2,0,1,0,0,0,244,1,5,89,152,20,244,23,7,30.4,13,56.5,168,1057,556,14,11,7,8,3,191,53,0,3,13,1,12,1,0,0,0,16,0,5,0
"2022-2023","Sporting CP","Primeira Liga","Dario Essugo","POR","MF","17",4,3,200,2.2,0,0,0,0,0,0,0,1,0,0,0,0.1,2,9,0,0,0,0,0,0,0.02,0.01,0.02,0.02,0.02,2.2,10,5,3,6,1,6,9,66.7,3,2,1,1,4,14,0,0,90,104,86.5,1330,365,51,57,89.5,33,34,97.1,4,7,57.1,0,0,0,1,10,0,0,9,0,2,0,0,0.9,0,0,NA,28.8,0,0,0,0.02,0,0,104,101,2,2,0,1,0,0,0,0,0,0,90,1,2,6,2.69,3,0,0,0,1,2,0,0,0,0,0,0,0,0,130,3,22,91,20,1,130,3,1,33.3,2,66.7,56,262,159,2,1,0,1,1,81,0,0,9,1,0,0,5,0,0,0,17,3,2,60
"2022-2023","Sporting CP","Primeira Liga","Matheus Nunes","POR","MF","23",2,2,180,2,1,1,2,1,0,0,1,0,0,0,0.1,0.2,3,10,3,0.5,0.5,1,0.5,1,0.02,0.07,0.1,0.02,0.1,2,2,2,0,2,0,1,1,100,0,3,0,3,3,5,0,0,88,99,88.9,1435,268,53,56,94.6,25,29,86.2,8,12,66.7,0.1,0.2,0.9,3,8,2,0,10,1,2,1,50,1,0.5,0.5,1,32.3,0,0,0,0.02,1,1,99,97,2,2,1,5,1,0,0,0,0,0,88,0,0,7,3.5,5,0,1,0,1,0,3,1.5,2,0,1,0,0,0,116,0,10,61,46,1,116,9,6,66.7,3,33.3,77,438,160,3,4,0,2,0,88,3,0,3,3,0,1,2,0,0,0,8,2,2,50
"2022-2023","Sporting CP","Primeira Liga","José Marsà","ESP","DF","20",2,2,116,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1.3,0,0,0,0,0,0,0,NA,0,2,1,1,3,3,1,0,111,117,94.9,1852,521,47,48,97.9,60,61,98.4,4,7,57.1,0,0,0,0,2,1,0,6,0,0,0,NA,0,0,NA,NA,NA,0,0,0,NA,0,0,117,115,2,2,0,0,0,0,0,0,0,0,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,3,67,56,1,0,124,1,1,100,0,0,105,478,209,0,0,0,0,1,101,0,0,1,0,0,0,0,0,0,0,10,1,0,100
"2022-2023","Sporting CP","Primeira Liga","Flávio Nazinho","POR","DF","19",3,2,102,1.1,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,5,6,14,0,0,0,0,0,0.12,0.08,0.2,0.12,0.2,1.1,3,2,2,1,0,2,3,66.7,1,1,1,0,0,3,2,0,37,52,71.2,621,151,18,23,78.3,14,21,66.7,3,3,100,0.1,0.1,-0.1,1,1,3,1,6,0,2,0,0,1.76,0,0,NA,14.3,0,0,0,0.07,-0.1,-0.1,52,44,8,1,0,1,6,7,0,0,0,0,37,0,2,5,4.41,4,1,0,0,0,0,0,0,0,0,0,0,0,0,67,1,11,21,35,3,67,3,2,66.7,1,33.3,30,166,87,5,3,0,3,0,39,14,0,0,0,0,6,2,0,0,0,5,1,4,20
"2022-2023","Sporting CP","Primeira Liga","Abdul Fatawu Issahaku","GHA","DF,MF","18",6,1,118,1.3,0,0,0,0,0,0,2,0,0.4,0.4,0.1,0.5,8,4,21,0,0,0,0,0,0.31,0.1,0.42,0.31,0.42,1.3,1,0,0,1,0,0,4,0,4,1,0,1,2,3,1,0,43,70,61.4,621,215,27,34,79.4,14,19,73.7,1,10,10,0.1,0.1,-0.1,1,1,2,1,4,0,4,1,25,3.05,0.76,0,0,21.6,0,0,0,0.1,-0.4,-0.4,70,56,14,0,0,0,10,14,0,0,0,0,43,0,2,6,4.58,3,0,2,0,1,0,2,1.53,0,0,1,0,1,0,99,3,13,19,68,5,99,15,6,40,7,46.7,61,376,174,8,3,4,4,1,60,21,0,3,6,0,10,0,1,0,0,6,2,4,33.3
"2022-2023","Sporting CP","Primeira Liga","Mateus Fernandes","POR","MF","18",3,1,90,1,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,4,5,2,0,0,0,0,0,0.05,0.06,0.11,0.05,0.11,1,3,0,0,3,0,0,1,0,1,1,0,1,0,3,0,0,47,51,92.2,752,142,25,26,96.2,17,17,100,4,6,66.7,0.1,0,-0.1,2,5,1,0,5,0,1,0,0,1,0,0,NA,16.7,0,0,0,0.05,-0.1,-0.1,51,50,1,1,0,1,1,0,0,0,0,0,47,0,1,3,3.03,3,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,10,43,12,1,65,4,1,25,2,50,46,264,101,4,1,0,2,0,48,2,0,3,4,0,1,0,0,1,0,4,1,3,25
"2022-2023","Sporting CP","Primeira Liga","Mateo Tanlongo","ARG","MF","18",9,0,141,1.6,0,0,0,0,0,0,1,0,0.2,0.2,0,0.2,1,8,1,0,0,0,0,0,0.1,0,0.1,0.1,0.1,1.6,4,1,3,0,1,1,5,20,4,1,0,1,0,4,1,0,94,105,89.5,1670,360,44,47,93.6,42,45,93.3,8,10,80,0,0,0,0,5,0,0,8,0,2,1,50,1.28,0.64,0,0,17.6,0,0,0,0.08,-0.2,-0.2,105,103,2,2,0,0,0,0,0,0,0,0,94,0,4,2,1.29,1,0,0,0,0,1,1,0.64,1,0,0,0,0,0,119,3,23,85,12,2,119,0,0,NA,0,NA,62,256,114,1,2,0,2,1,84,1,0,6,2,0,0,1,0,0,0,10,2,3,40
"2022-2023","Sporting CP","Primeira Liga","Sotiris Alexandropoulos","GRE","MF","20",6,0,104,1.2,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.2,7,6,3,0,0,0,0,0,0.15,0.05,0.2,0.15,0.2,1.2,6,5,2,3,1,3,6,50,3,1,0,1,2,8,1,0,47,62,75.8,704,195,33,35,94.3,7,14,50,5,6,83.3,0.1,0.1,-0.1,1,5,0,0,6,0,1,0,0,0.87,0,0,NA,16.5,0,0,0,0.17,-0.2,-0.2,62,61,1,1,0,1,0,0,0,0,0,0,47,0,1,3,2.65,2,0,0,0,0,1,0,0,0,0,0,0,0,0,84,3,17,48,20,2,84,4,1,25,3,75,40,241,154,7,3,1,2,0,47,3,0,3,1,0,0,5,0,0,0,11,1,1,50
"2022-2023","Sporting CP","Primeira Liga","Jovane Cabral","CPV","MF","24",4,0,55,0.6,0,0,0,0,0,0,1,0,0,0,0,0,1,6,8,0,0,0,0,0,0,0.03,0.03,0,0.03,0.6,4,1,3,1,0,0,0,NA,0,1,0,1,0,4,0,0,29,41,70.7,600,126,8,14,57.1,18,21,85.7,2,4,50,0,0,0,1,7,1,1,6,0,0,0,NA,0,0,NA,NA,NA,0,0,0,NA,0,0,41,39,2,0,0,1,4,1,1,0,1,0,29,0,2,3,5,2,0,0,0,0,1,0,0,0,0,0,0,0,0,51,0,8,32,12,3,51,3,1,33.3,2,66.7,34,187,75,1,1,0,4,3,38,8,0,3,3,1,4,1,0,0,0,6,0,3,0
"2022-2023","Sporting CP","Primeira Liga","Chico Lamba","POR","DF","19",1,0,45,0.5,0,0,0,0,0,0,0,0,0,0,0.1,0.1,2,5,0,0,0,0,0,0,0,0.18,0.18,0,0.18,0.5,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,38,40,95,749,264,8,8,100,27,28,96.4,3,4,75,0.1,0.1,-0.1,1,4,1,0,5,0,0,0,NA,0,0,NA,NA,NA,0,0,0,NA,0,0,40,40,0,0,1,0,0,0,0,0,0,0,38,0,0,2,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,41,4,11,29,1,0,41,0,0,NA,0,NA,34,139,63,2,0,0,0,0,35,0,0,0,1,0,0,0,0,0,0,4,1,0,100
"2022-2023","Sporting CP","Primeira Liga","Rodrigo Duarte","POR","FW","17",2,0,30,0.3,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,1,0,5,0,0,0,0,0,0.49,0,0.49,0.49,0.49,0.3,2,0,0,1,1,0,1,0,1,0,0,0,1,3,0,0,5,7,71.4,84,0,3,3,100,1,1,100,1,1,100,0,0,0,0,0,0,0,0,0,3,1,33.3,9,3,0,0,18.4,0,0,0,0.05,-0.2,-0.2,7,6,0,0,0,0,0,0,0,0,0,0,5,1,0,1,3.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,2,4,11,2,16,1,0,0,0,0,10,70,33,1,1,0,0,0,10,5,0,2,0,0,0,0,0,0,0,1,0,1,0
"2022-2023","Arouca","Primeira Liga","João Othavio Basso","BRA","DF","25",NA,32,2845,31.6,3,1,4,1,2,3,4,0,3.6,1.2,0.5,1.7,9,81,7,0.09,0.03,0.13,0.03,0.06,0.11,0.01,0.13,0.04,0.05,31.6,55,31,39,15,1,22,44,50,22,43,27,16,51,106,159,1,1386,1596,86.8,27376,11153,449,489,91.8,764,820,93.2,163,262,62.2,0.5,0.5,0.5,5,78,4,0,81,3,11,2,18.2,0.35,0.06,0.09,0.5,14.8,0,2,3,0.11,-0.6,-0.2,1596,1496,96,87,0,10,1,4,0,0,0,0,1386,4,4,21,0.66,20,0,0,0,0,1,1,0.03,1,0,0,0,0,0,1961,370,1205,705,70,29,1958,22,13,59.1,7,31.8,1050,5255,2908,9,8,0,11,2,1215,7,0,19,29,1,1,31,0,1,0,182,52,32,61.9
"2022-2023","Arouca","Primeira Liga","Quaresma","BRA","DF","25",NA,31,2740,30.4,1,1,2,1,0,0,5,1,0.3,0.3,1.7,2,65,96,104,0.03,0.03,0.07,0.03,0.07,0.01,0.05,0.07,0.01,0.07,30.4,74,44,49,20,5,42,80,52.5,38,36,11,25,45,119,79,0,1239,1676,73.9,22309,9534,573,644,89,519,669,77.6,132,270,48.9,1.7,1.7,-0.7,20,91,26,12,96,1,13,3,23.1,0.43,0.1,0.08,0.33,28.5,0,0,0,0.03,0.7,0.7,1676,1317,353,42,10,16,68,311,0,0,0,0,1239,6,50,53,1.74,39,4,4,2,3,1,7,0.23,6,0,0,1,0,0,2093,133,855,871,399,17,2093,106,50,47.2,44,41.5,1077,6370,3100,65,43,4,54,36,1143,104,0,36,47,4,68,44,0,1,0,226,26,22,54.2
"2022-2023","Arouca","Primeira Liga","Alan Ruiz","ARG","MF","28",NA,31,2490,27.7,3,2,5,3,0,0,10,0,2.8,2.8,4.3,7.1,38,174,96,0.11,0.07,0.18,0.11,0.18,0.1,0.16,0.26,0.1,0.26,27.7,39,24,13,25,1,21,45,46.7,24,18,4,14,9,48,23,1,1044,1362,76.7,19389,5451,476,559,85.2,381,468,81.4,161,258,62.4,4.3,3.7,-2.3,39,126,29,3,174,3,67,19,28.4,2.42,0.69,0.04,0.16,26.9,6,0,0,0.04,0.2,0.2,1362,1274,77,45,21,27,60,3,29,23,2,0,1044,11,22,86,3.1,67,5,6,1,6,1,8,0.29,6,0,1,1,0,0,1676,38,223,989,491,29,1676,99,51,51.5,38,38.4,1010,5070,2256,38,44,4,55,39,1274,96,0,62,73,4,60,24,1,0,0,135,73,71,50.7
"2022-2023","Arouca","Primeira Liga","David Simão","POR","MF","32",NA,30,2580,28.7,0,4,4,0,0,0,7,0,0.5,0.5,1.7,2.2,16,139,36,0,0.14,0.14,0,0.14,0.02,0.06,0.08,0.02,0.08,28.7,55,31,28,21,6,29,64,45.3,35,35,15,20,29,84,26,0,1346,1656,81.3,25177,8758,564,631,89.4,558,649,86,183,299,61.2,1.7,3.1,2.3,32,136,15,4,139,0,16,3,18.8,0.56,0.1,0,0,29,0,0,0,0.03,-0.5,-0.5,1656,1523,128,69,8,22,79,7,52,20,19,6,1346,5,21,58,2.02,42,14,0,1,1,0,3,0.1,1,2,0,0,0,0,1910,62,541,1091,298,4,1910,32,17,53.1,11,34.4,966,4081,1721,16,19,0,37,14,1313,36,0,48,34,0,79,31,0,1,0,185,15,11,57.7
"2022-2023","Arouca","Primeira Liga","Antony","BRA","FW,MF","20",NA,26,2375,26.4,6,1,7,6,0,0,3,0,8.9,8.9,2.6,11.5,52,57,166,0.23,0.04,0.27,0.23,0.27,0.34,0.1,0.44,0.34,0.44,26.4,51,35,25,21,5,18,46,39.1,28,26,0,26,25,76,18,0,479,651,73.6,6738,1644,268,337,79.5,164,205,80,21,39,53.8,2.6,2.5,-1.6,29,31,16,3,57,6,52,16,30.8,1.97,0.61,0.12,0.38,18.5,0,0,0,0.17,-2.9,-2.9,651,639,9,1,8,2,20,5,1,1,0,0,479,3,26,65,2.46,45,0,10,6,2,2,9,0.34,4,0,4,0,1,0,974,10,172,408,415,63,974,68,33,48.5,32,47.1,569,3981,1763,52,50,16,69,36,624,166,0,32,27,6,20,35,1,1,0,143,11,24,31.4
"2022-2023","Arouca","Primeira Liga","Tiago Esgaio","POR","DF","26",NA,25,2282,25.4,0,2,2,0,0,0,9,0,0.8,0.8,1.9,2.7,16,63,79,0,0.08,0.08,0,0.08,0.03,0.07,0.11,0.03,0.11,25.4,45,24,28,14,3,39,63,61.9,24,26,6,20,22,67,93,0,849,1229,69.1,14956,6548,398,454,87.7,351,488,71.9,86,223,38.6,1.9,2.4,0.1,14,61,18,9,63,0,11,2,18.2,0.43,0.08,0,0,15.8,0,0,0,0.07,-0.8,-0.8,1229,955,267,14,2,4,55,253,0,0,0,0,849,7,18,27,1.07,21,3,1,1,1,0,3,0.12,2,1,0,0,0,0,1478,99,584,589,313,28,1478,7,4,57.1,2,28.6,597,2135,1061,16,13,1,17,5,763,79,0,26,6,2,55,24,0,1,0,101,46,29,61.3
"2022-2023","Arouca","Primeira Liga","Morlaye Sylla","GUI","FW,MF","24",NA,23,2279,25.3,4,4,8,1,3,3,3,0,4.4,2,4.3,6.3,49,115,126,0.16,0.16,0.32,0.04,0.2,0.17,0.17,0.34,0.08,0.25,25.3,44,28,15,22,7,24,53,45.3,29,31,4,27,27,71,18,1,862,1089,79.2,14379,4294,444,505,87.9,293,370,79.2,91,146,62.3,4.3,4.3,-0.3,40,98,31,7,115,4,36,11,30.6,1.42,0.43,0.03,0.09,26,1,3,3,0.06,-0.4,-1,1089,1025,60,15,13,8,50,14,17,9,3,2,862,4,19,75,2.96,60,6,1,4,1,3,9,0.36,7,1,0,0,1,0,1371,30,214,713,465,39,1368,64,34,53.1,26,40.6,771,4316,2178,49,46,8,51,19,938,126,0,45,23,1,50,28,1,0,0,144,19,27,41.3
"2022-2023","Arouca","Primeira Liga","Rafa Mújica","ESP","FW","23",NA,22,1633,18.1,8,0,8,8,0,0,1,0,8.1,8.1,1,9.1,18,11,79,0.44,0,0.44,0.44,0.44,0.45,0.06,0.5,0.45,0.5,18.1,23,19,3,12,8,2,10,20,8,19,1,18,2,25,28,0,180,249,72.3,2574,306,101,135,74.8,64,87,73.6,7,8,87.5,1,0.6,-1,12,5,3,0,11,8,57,28,49.1,3.14,1.54,0.14,0.29,16.8,0,0,0,0.14,-0.1,-0.1,249,217,32,0,1,0,0,2,0,0,0,0,180,0,5,31,1.71,15,1,3,9,1,2,3,0.17,1,0,1,1,0,0,485,28,51,212,230,81,485,27,10,37,17,63,234,1350,477,18,16,9,58,22,318,79,0,44,21,4,0,19,0,0,0,25,31,58,34.8
"2022-2023","Arouca","Primeira Liga","Ismaila Soro","CIV","MF","24",NA,22,1521,16.9,0,0,0,0,0,0,7,1,0.1,0.1,0.9,1,7,58,9,0,0,0,0,0,0.01,0.05,0.06,0.01,0.06,16.9,39,21,25,10,4,17,46,37,29,19,6,13,37,76,27,0,584,689,84.8,10408,2828,238,269,88.5,272,299,91,59,81,72.8,0.9,0.6,-0.9,8,47,2,1,58,0,4,0,0,0.24,0,0,NA,27.1,0,0,0,0.02,-0.1,-0.1,689,681,8,7,1,6,2,1,0,0,0,0,584,0,14,20,1.18,18,0,0,1,0,1,0,0,0,0,0,0,0,0,860,42,279,502,88,1,860,26,16,61.5,5,19.2,417,1982,823,7,11,0,17,15,506,9,0,40,11,0,2,21,0,0,0,111,20,11,64.5
"2022-2023","Arouca","Primeira Liga","Jerome Opoku","ENG","DF","23",NA,21,1918,21.3,0,1,1,0,0,0,6,2,0.2,0.2,0.4,0.7,13,30,3,0,0.05,0.05,0,0.05,0.01,0.02,0.03,0.01,0.03,21.3,23,12,16,6,1,8,11,72.7,3,28,15,13,26,49,82,1,639,799,80,13289,5689,195,214,91.1,344,387,88.9,88,171,51.5,0.4,0.3,0.6,4,42,1,1,30,0,3,1,33.3,0.14,0.05,0,0,27.9,0,0,0,0.07,-0.2,-0.2,799,756,42,37,1,15,6,4,0,0,0,0,639,1,8,10,0.47,8,1,0,0,0,1,1,0.05,1,0,0,0,0,0,1004,189,628,355,29,8,1004,19,9,47.4,6,31.6,567,3028,1695,13,8,0,12,1,626,3,0,28,25,0,6,12,0,2,1,101,34,24,58.6
"2022-2023","Arouca","Primeira Liga","Nino Galović","CRO","DF","30",NA,14,1303,14.5,0,1,1,0,0,0,3,0,0.2,0.2,0.2,0.4,3,17,1,0,0.07,0.07,0,0.07,0.01,0.01,0.03,0.01,0.03,14.5,13,10,11,2,0,7,8,87.5,1,14,13,1,16,29,66,0,546,620,88.1,10491,3594,188,194,96.9,308,327,94.2,47,91,51.6,0.2,0,0.8,1,11,1,0,17,0,2,1,50,0.14,0.07,0,0,9.7,0,0,0,0.09,-0.2,-0.2,620,600,19,19,0,6,0,0,0,0,0,0,546,1,4,5,0.35,4,0,0,0,1,0,2,0.14,2,0,0,0,0,0,745,154,493,246,8,4,745,0,0,NA,0,NA,376,1489,659,3,3,0,2,0,505,1,0,10,4,0,0,10,0,1,0,58,18,18,50
"2022-2023","Arouca","Primeira Liga","Oriol Busquets","ESP","MF","23",NA,13,1160,12.9,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.3,2,38,8,0,0,0,0,0,0.01,0.01,0.02,0.01,0.02,12.9,21,14,12,9,0,8,27,29.6,19,17,4,13,16,37,28,1,574,662,86.7,10170,2800,249,279,89.2,241,272,88.6,68,81,84,0.1,0.2,-0.1,5,49,4,0,38,0,2,0,0,0.16,0,0,NA,19.8,0,0,0,0.06,-0.1,-0.1,662,646,16,16,0,3,1,0,0,0,0,0,574,0,10,20,1.55,18,1,1,0,0,0,1,0.08,1,0,0,0,0,0,785,50,308,429,50,1,785,15,9,60,5,33.3,438,1736,685,2,12,0,7,7,512,8,0,15,6,0,1,14,0,0,0,76,7,9,43.8
"2022-2023","Arouca","Primeira Liga","André Bukia","COD","FW,MF","27",NA,13,1030,11.4,2,0,2,2,0,0,2,0,1.3,1.3,0.5,1.9,33,32,66,0.17,0,0.17,0.17,0.17,0.12,0.05,0.16,0.12,0.16,11.4,11,6,4,6,1,6,16,37.5,10,8,0,8,4,15,1,0,220,284,77.5,3363,913,122,134,91,73,93,78.5,15,33,45.5,0.5,1,-0.5,7,11,10,0,32,2,19,8,42.1,1.66,0.7,0.11,0.25,24.3,0,0,0,0.07,0.7,0.7,284,280,3,3,7,2,13,0,0,0,0,0,220,1,9,24,2.09,17,0,4,1,2,0,3,0.26,2,0,1,0,0,0,421,5,67,179,188,19,421,51,22,43.1,23,45.1,288,1920,907,33,16,12,36,11,305,66,0,13,33,1,13,6,0,0,0,78,0,13,0
"2022-2023","Arouca","Primeira Liga","Bogdan Milovanov","UKR","DF","24",NA,11,987,11,0,0,0,0,0,0,4,0,0.1,0.1,0.1,0.2,15,19,32,0,0,0,0,0,0.01,0.01,0.01,0.01,0.01,11,38,22,22,11,5,22,35,62.9,13,12,2,10,18,56,54,0,347,518,67,5829,2284,178,205,86.8,137,200,68.5,29,83,34.9,0.1,0.3,-0.1,3,19,3,2,19,0,2,0,0,0.18,0,0,NA,18.4,0,0,0,0.04,-0.1,-0.1,518,406,112,6,1,2,13,106,0,0,0,0,347,0,20,11,1,8,2,0,1,0,0,0,0,0,0,0,0,0,0,677,59,324,225,131,8,677,15,5,33.3,10,66.7,293,1381,602,15,6,3,19,3,304,32,0,18,3,2,13,22,0,1,0,67,12,10,54.5
"2022-2023","Arouca","Primeira Liga","Oday Dabbagh","PLE","FW","23",NA,11,915,10.2,7,0,7,7,0,0,0,0,5.7,5.7,1,6.7,16,16,71,0.69,0,0.69,0.69,0.69,0.56,0.1,0.66,0.56,0.66,10.2,3,1,0,2,1,1,3,33.3,2,5,0,5,6,9,8,0,183,238,76.9,2480,333,115,144,79.9,50,60,83.3,11,13,84.6,1,0.7,-1,10,7,5,0,16,7,23,14,60.9,2.26,1.38,0.3,0.5,12.8,0,0,0,0.25,1.3,1.3,238,222,16,0,1,0,2,0,0,0,0,0,183,0,5,28,2.76,21,0,2,3,1,1,2,0.2,1,0,1,0,0,0,343,10,21,156,171,46,343,16,9,56.3,6,37.5,188,966,406,16,7,8,35,5,246,71,0,5,9,12,2,1,0,0,0,23,19,43,30.6
"2022-2023","Arouca","Primeira Liga","Arsénio Martins Lafuente Nunes","POR","FW,MF","32",NA,8,975,10.8,0,2,2,0,0,0,3,0,0.6,0.6,2.2,2.8,26,31,57,0,0.18,0.18,0,0.18,0.06,0.2,0.26,0.06,0.26,10.8,7,4,5,1,1,4,13,30.8,9,13,2,11,2,9,10,0,285,397,71.8,4403,1286,155,185,83.8,106,140,75.7,18,45,40,2.2,1.5,-0.2,17,13,10,4,31,0,10,3,30,0.92,0.28,0,0,20.9,0,0,0,0.06,-0.6,-0.6,397,371,23,4,2,1,32,8,11,4,3,0,285,3,11,31,2.86,24,3,3,0,1,0,2,0.18,2,0,0,0,0,0,495,10,86,208,206,11,495,23,9,39.1,13,56.5,295,1475,663,26,15,6,17,21,366,57,0,7,9,2,32,4,0,0,0,45,3,12,20
